qps,mode,qualifying_launches,average_app_latency_s,completed_applications,max_app_latency_s,p50_app_latency_s,p90_app_latency_s,p95_app_latency_s,p99_app_latency_s,throughput_apps_per_s,total_e2e_s,e2e_min_s,e2e_max_s,output_tokens_per_s,native_preemptions,critical_wait_max_s,critical_wait_observed_max_s,scheduling.cache_affinity_admitted,scheduling.cpu_hit_tokens,scheduling.critical_admitted,scheduling.critical_wait_ge_180s,scheduling.critical_wait_ge_60s,scheduling.executed_tokens,scheduling.generation_capacity_denied,scheduling.generation_progress_deferred,scheduling.gpu_hit_tokens,scheduling.physical_preempted,scheduling.prefill_capacity_denied,scheduling.recomputed_tokens,scheduling.reservation_denied,scheduling.reservation_preempted,scheduling.resume_cpu_hit_tokens,scheduling.resume_gpu_hit_tokens,first_prefill_sources.local_compute,first_prefill_sources.local_cache_hit,first_prefill_sources.external_kv_transfer,timeseries.kv_cache_usage_perc.mean,timeseries.kv_cache_usage_perc.minimum_coverage,timeseries.num_requests_running.mean,timeseries.num_requests_running.minimum_coverage,timeseries.num_requests_waiting.mean,timeseries.num_requests_waiting.minimum_coverage,hardware_timeseries.utilization.gpu.mean,hardware_timeseries.utilization.gpu.minimum_coverage,hardware_timeseries.temperature.gpu.mean,hardware_timeseries.temperature.gpu.minimum_coverage,hardware_timeseries.power.draw.mean,hardware_timeseries.power.draw.minimum_coverage,hardware_timeseries.clocks.sm.mean,hardware_timeseries.clocks.sm.minimum_coverage,GPU_to_CPU.bytes,GPU_to_CPU.time_s,GPU_to_CPU.jobs,CPU_to_GPU.bytes,CPU_to_GPU.time_s,CPU_to_GPU.jobs,critical_path.llm_latency.mean,critical_path.tool_latency.mean,critical_path.residual_latency.mean,critical_path.orchestration_gap_s.mean,critical_node_llm.mean,critical_node_llm.p95,critical_node_llm.maximum,request.e2e_request_latency_seconds.mean,request.request_decode_time_seconds.mean,request.request_prefill_kv_computed_tokens.mean,request.request_prefill_time_seconds.mean,request.request_prompt_tokens.mean,request.request_queue_time_seconds.mean,request.time_to_first_token_seconds.mean
0.2,offload,1,467.93754918376607,24,570.9351046085358,510.44097781181335,566.7615848064423,569.0018146634102,570.5778454113006,0.0352080011455674,681.6632361710072,681.6632361710072,681.6632361710072,227.58451940494766,58.0,,,,,,,,,,,,,,,,,,,818872.0,2872224.0,2180736.0,0.8473868096729208,0.9999710182523797,8.105114162748773,0.9999710182523797,25.701104607299733,0.9999710182523797,98.94829179895049,1.0,54.1983786688747,1.0,353.77854473228064,1.0,1387.4900018932753,1.0,56286511104.0,2.264600701540708,97.0,432002826240.0,17.295078573778273,323.0,437.83853610356647,30.0840725004673,0.001751999060312907,0.013188580671946207,32.61060997259383,51.85068794488907,62.312488079071045,35.8448670256285,8.239613835441155,1263.6913580246915,0.5616908906326618,9061.469135802468,26.863556425702285,27.603934518349025
0.2,agent_offload,1,448.8140612145265,24,522.951210975647,477.78351306915283,516.6062735795974,520.6202513575554,522.4637085008621,0.03747361331571387,640.4506498426199,640.4506498426199,640.4506498426199,242.22943647277444,0.0,108.454,108.454,216.0,1562672.0,644.0,0.0,61.0,962927.0,397548.0,0.0,3508048.0,0.0,0.0,0.0,1908.0,0.0,0.0,0.0,808439.0,3508048.0,1562672.0,0.8517836843835438,0.9999658363684316,8.819178473027229,0.9999658363684316,22.98566912149583,0.9999658363684316,98.80821909003788,1.0,68.17153118962344,1.0,363.6379643536779,1.0,1389.8849624559066,1.0,53254029312.0,2.1209128355383884,97.0,307233816576.0,12.347118367269639,299.0,419.51195845007896,29.28729087114334,0.001726686954498291,0.013085206349690756,30.41898443652134,77.26467043161391,120.27976107597351,31.593291273823493,8.386406701242114,1247.591049382716,0.426505267660329,9072.776234567902,22.632136407543985,23.206402921382292
0.5,base,1,776.2644394040108,24,886.9464101791382,817.4578738212585,882.8735054254532,883.8394619584083,886.2429679989815,0.025559374143178524,938.9901280663908,938.9901280663908,938.9901280663908,165.215794461506,43.0,,,,,,,,,,,,,,,,,,,3073050.0,2794320.0,0.0,0.8324319135630358,0.9999791957250306,8.458921154304786,0.9999791957250306,36.6872717151818,0.9999791957250306,98.83948676036842,1.0,60.413594157170195,1.0,376.2931502437143,1.0,1348.1216519172071,1.0,,,,,,,748.574965685606,27.67747684319814,0.0016233126322428386,0.010373562574386597,60.04088276916859,107.86186751127244,120.33062100410461,66.41112131726595,11.299366098018018,4742.361111111111,1.469724708231005,9054.583333333334,53.02299719899433,55.110645879565936
0.5,agent,1,638.2313902775446,24,787.3914349079132,682.3401514291763,782.11184592247,786.1593789815903,787.2588927292824,0.028899385495947467,830.4674853160977,830.4674853160977,830.4674853160977,186.80562784580442,0.0,109.208,109.208,96.0,0.0,639.0,0.0,98.0,2753398.0,418629.0,0.0,3274448.0,0.0,0.0,0.0,1614.0,0.0,0.0,0.0,2598910.0,3274448.0,0.0,0.8633216363565119,0.9999753753111269,9.29448242656132,0.9999753753111269,24.84960530961806,0.9999753753111269,99.22511912870179,1.0,69.49982877510118,1.0,379.00104673746006,1.0,1358.902874300918,1.0,,,,,,,611.1094820896784,27.108903894821804,0.0016844371954600017,0.01131985584894816,43.26247229763106,87.68080219030377,116.15193939208984,44.60925164855557,10.996748756778278,4010.6635802469136,1.2384556126953274,9063.824074074075,31.778422970635194,33.61221989842109
0.5,offload,1,589.5014322002729,24,663.13325548172,624.5408926010132,657.8788147211075,659.2575598478317,662.2946050930022,0.03365307070862955,713.1592896170914,713.1592896170914,713.1592896170914,217.53344906058143,78.0,,,,,,,,,,,,,,,,,,,1076372.0,2691968.0,2095600.0,0.8576579741462476,0.9999777310724922,8.220775466508208,0.9999777310724922,36.203330346332685,0.9999777310724922,98.21904954981159,1.0,54.96794055473969,1.0,352.875435893765,1.0,1378.6581254796579,1.0,55990812672.0,2.246607914179564,93.0,413578297344.0,16.54905932103097,361.0,559.514538516601,29.9707028567791,0.0017674068609873454,0.014423420031865438,43.99212622642517,74.80536470413207,83.14703369140625,49.17822843790054,8.726305334391878,1661.067901234568,0.6631965636459674,9049.29012345679,39.58707202817486,40.45089233326323
0.5,agent_offload,1,529.6478843390942,24,599.636990070343,544.8577245473862,597.5665062904358,598.3396124005318,599.3550991082192,0.03703433748425403,648.0472348183393,648.0472348183393,648.0472348183393,239.38995749821808,0.0,92.971,92.971,200.0,1611984.0,645.0,0.0,105.0,1176249.0,506687.0,0.0,3242912.0,0.0,0.0,0.0,2252.0,0.0,0.0,0.0,1021761.0,3242912.0,1611984.0,0.8705912597196807,0.9999641345880298,9.15657083836253,0.9999641345880298,29.07242598434131,0.9999641345880298,98.78280852803609,1.0,69.97210201189624,1.0,365.9567472514988,1.0,1382.7185252529262,1.0,54760833024.0,2.177110422194004,102.0,316928950272.0,12.740594459831708,319.0,500.1595065693061,29.474738160769146,0.001600891351699829,0.012038717667261759,37.02820423362302,86.54822067022323,101.38325691223145,38.4245441360974,8.697786288870567,1576.7916666666667,0.49169830480061566,9068.91512345679,29.065862996043798,29.72648333951279
1.0,base,1,864.1472219626108,24,931.4153218269348,884.55932700634,925.5528440713882,929.1186615347863,930.9988075947762,0.024988647202361613,960.4361454881728,960.4361454881728,960.4361454881728,161.52661551606548,41.0,,,,,,,,,,,,,,,,,,,3282597.0,2591264.0,0.0,0.845393010844187,0.9999743891004669,8.404593573142135,0.9999743891004669,42.64178760464637,0.9999743891004669,98.75321517317673,1.0,60.88198561838552,1.0,374.254539852538,1.0,1351.7133696472965,1.0,,,,,,,836.7422023117542,27.39270018537839,0.0016286571820576985,0.010690808296203613,71.13019788615844,165.6430858850479,182.8678641319275,76.4763206243515,11.453221967719772,5065.736111111111,1.413369906761534,9064.600308641975,62.971570912070206,65.0219448124185
1.0,agent,1,694.3764844139417,24,813.719509601593,783.123079419136,807.7773730039597,810.3458218455314,813.0111945056915,0.028647215722032857,837.7777523957193,837.7777523957193,837.7777523957193,185.17560242722038,0.0,134.409,134.409,97.0,0.0,639.0,0.0,151.0,2860256.0,509472.0,0.0,3169408.0,0.0,0.0,0.0,2223.0,0.0,0.0,0.0,2705768.0,3169408.0,0.0,0.8440070254689207,0.9999746717643273,9.139890529559588,0.9999746717643273,29.684634920271314,0.9999746717643273,99.217495767541,1.0,70.36667744613968,1.0,380.1520965972278,1.0,1356.551420066587,1.0,,,,,,,667.2555770377318,27.10877514878909,0.00156135360399882,0.010570873816808065,47.97645019140898,96.32844557762145,153.5254065990448,51.09829283533273,10.891693641834053,4175.567901234568,1.335923499226524,9066.62962962963,38.2594370206611,40.20655467076066
1.0,offload,1,630.0426935752233,24,661.9132719039917,642.7086378335953,658.7660927534104,660.8149961709977,661.7297284817696,0.03473171459995127,691.0110910572112,691.0110910572112,691.0110910572112,224.50580317408503,58.0,,,,,,,,,,,,,,,,,,,1039577.0,2647472.0,2187632.0,0.8633062082193178,0.9999693796403283,8.442395776157726,0.9999693796403283,42.53387214388535,0.9999693796403283,97.80855818006512,1.0,55.22575105190039,1.0,356.0959464159524,1.0,1378.1690077586384,1.0,55415144448.0,2.21205549660325,96.0,433475026944.0,17.328424348145717,360.0,599.2226736843586,30.80365652839343,0.0017468432585398357,0.014616519212722778,49.999925170459,106.5558362841606,116.83866310119629,54.60938861745375,8.682961878205798,1604.2854938271605,0.6040333809020618,9065.86574074074,45.12107239925751,45.925247345441655
1.0,agent_offload,1,525.2546170949936,24,606.8849041461945,587.4578092098236,603.6764232635499,604.4989583015442,606.3657711219787,0.03798833255758193,631.7729256376624,631.7729256376624,631.7729256376624,245.55658165220962,0.0,107.021,107.021,212.0,1726736.0,643.0,0.0,83.0,1107268.0,511519.0,0.0,3193296.0,0.0,0.0,0.0,1456.0,0.0,0.0,0.0,952780.0,3193296.0,1726736.0,0.8774777212813727,0.9999643339291063,9.10884436523842,0.9999643339291063,29.565095139976997,0.9999643339291063,98.80521740692495,1.0,63.92007448272709,1.0,357.2450787832186,1.0,1386.4196544977303,1.0,52996079616.0,2.1049095134735114,104.0,339490111488.0,13.655934420287617,327.0,496.0981306731701,29.142070015271504,0.0017738242944081624,0.012642582257588705,36.649967297035104,86.88594901561736,117.2138180732727,37.886852470077116,8.491656181436998,1470.3395061728395,0.4663572752457342,9062.981481481482,28.78481132818823,29.39485772156421
